id,track_name,popularity,artist,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
3mJYO6SQXrcXYjHDyNUSwJ,"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",18,Frédéric Chopin,0.33,0.00637,3.0,-33.518,0.0382,0.991,0.906,0.0603,0.0716,66.364
5AWEkm3S1jgpJAsgyt8RZ5,"Nocturne No. 15 in F Minor, Op. 55 No. 1",18,Frédéric Chopin,0.35,0.0285,1.0,-28.22,0.0463,0.994,0.898,0.0725,0.0724,68.123
2CdC1HncQCzLqVWMirlzDy,"Nocturne No. 4 in F Major, Op. 15 No. 1",18,Frédéric Chopin,0.28,0.00636,5.0,-29.668,0.0363,0.993,0.87,0.0486,0.0481,66.815
3uy5mPYITqG2OCYKiQkNX3,"Nocturne No. 9 in B Major, Op. 32 No. 1",18,Frédéric Chopin,0.219,0.00792,11.0,-32.91,0.0549,0.995,0.829,0.0874,0.118,67.005
0ulphd43rhIMuqDfBL4TFQ,"Nocturne No. 19 in E Minor, Op. 72 No. 1",17,Frédéric Chopin,0.316,0.0128,4.0,-28.915,0.0429,0.993,0.93,0.128,0.0534,132.076
3tmIstn6uhelTXjIG9WWFY,"Nocturne No. 12 in G Major, Op. 37 No. 2",17,Frédéric Chopin,0.259,0.0403,7.0,-29.745,0.0388,0.995,0.888,0.0954,0.0365,174.918
4MKWs5wTuz9NdQrwimLUwq,"Nocturne No. 16 in E-Flat Major, Op. 55 No. 2",17,Frédéric Chopin,0.313,0.023,3.0,-28.365,0.0398,0.993,0.882,0.193,0.049,133.817
33HXpIkgXunEiKCbtOJL2h,"12 Etudes, Op. 10: No. 1 in C Major ""Waterfall""",24,Frédéric Chopin,0.194,0.268,0.0,-18.538,0.0333,0.965,0.861,0.109,0.0922,88.306
1xTyK5FNpbS8DL62sEkqR2,"12 Etudes, Op. 25: No. 3 in F Major ""The Horseman""",24,Frédéric Chopin,0.291,0.119,0.0,-22.787,0.0394,0.99,0.834,0.0968,0.622,149.911
6WiNSJG3xXHhmqc4J72v5b,"Mazurka No. 29 in A-Flat Major, Op. 41 No. 4",24,Frédéric Chopin,0.312,0.0389,8.0,-33.876,0.0456,0.995,0.905,0.12,0.201,89.19
2gyCK94MyV6Qwo8EjhVfIi,"Mazurka No. 21 in C-Sharp Minor, Op. 30 No. 4",23,Frédéric Chopin,0.259,0.0347,1.0,-25.469,0.04,0.994,0.92,0.0825,0.0633,81.143
5LG4owAaoXq8yedVb88Fkn,"Waltz No. 6 in D flat, Op. 64 No. 1 -""Minute""",16,Frédéric Chopin,0.326,0.0382,1.0,-31.904,0.0407,0.989,0.918,0.221,0.286,140.613
3F4JIIjZpoJyVaIzCFJC0A,"Waltz No. 7 in C sharp minor, Op. 64 No. 2",16,Frédéric Chopin,0.25,0.0177,1.0,-34.322,0.041,0.992,0.907,0.108,0.282,78.815
66jHEH15GRL1FnWjBvvEnS,"Waltz No. 8 in A flat, Op. 64 No. 3",16,Frédéric Chopin,0.265,0.0543,8.0,-30.579,0.0359,0.991,0.895,0.149,0.462,101.317
4sLqN0whigrRkYpftyzbhL,Mazurka No. 36 in A minor Op. 59 No. 1,16,Frédéric Chopin,0.328,0.0212,9.0,-31.318,0.0411,0.994,0.906,0.0895,0.0553,69.716
4QdKWzsYAhdWopZCOFAj2A,Mazurka No. 37 in A flat Op. 59 No. 2,16,Frédéric Chopin,0.382,0.0577,8.0,-27.759,0.0458,0.995,0.873,0.105,0.142,68.284
4HvCuHS41LiCFQ4Sswit2b,Mazurka No. 38 in F sharp minor Op. 59 No. 3,16,Frédéric Chopin,0.281,0.0356,1.0,-30.449,0.0486,0.995,0.868,0.0972,0.155,50.762
0ttk1qBZ5wp3xoYGByz05w,"Barcarolle in F sharp, Op. 60",15,Frédéric Chopin,0.247,0.0447,6.0,-25.941,0.0396,0.992,0.895,0.0887,0.0571,61.904
7acsKkAgEVTqNS4lNcW3sm,"Nocturnes, Op. 15: No. 2 in F-Sharp Major - Welte-Mignon 441",15,Frédéric Chopin,0.338,0.0119,6.0,-30.282,0.0353,0.99,0.92,0.0789,0.0628,73.486
1Uo8jAqALvjQIkv53Mh1U7,"Ballade No. 1, Op. 23 in G Minor - Upon Piano Roll Triphonola T-50081",13,Frédéric Chopin,0.279,0.14,7.0,-17.964,0.0344,0.987,0.875,0.0824,0.0494,63.935
3B5xtNXXCKMVvdFIBNF2P2,"Polonaise, Op. 53 (Heroic) in A-Flat Major - Welte-Mignon 440",10,Frédéric Chopin,0.337,0.219,8.0,-14.883,0.0305,0.987,0.937,0.0855,0.186,97.305
4n93SK7dQsQVu9BM5QzvAx,I Can Do It With a Broken Heart,69,Taylor Swift,0.696,0.742,0.0,-8.298,0.0558,0.142,0.0,0.114,0.244,129.971
0Z8YQJNXTCZqflWehjoJqJ,I Can Do It With a Broken Heart - Instrumental,67,Taylor Swift,0.603,0.687,0.0,-10.542,0.0356,0.0866,0.882,0.235,0.154,130.011
2BUTSRKPGRsyc9FnsC5Udd,Fortnight (feat. Post Malone) - Acoustic Version,72,Taylor Swift,0.61,0.305,11.0,-11.08,0.0259,0.747,0.0,0.0997,0.483,95.98
7pM01Cfj8vt7z3qI2TveNT,Fortnight (feat. Post Malone) - Cults Remix,61,Taylor Swift,0.603,0.499,2.0,-11.906,0.0294,0.0578,0.02,0.101,0.426,117.095
6GrvlxquXWumwyNeZb1oZz,Fortnight (feat. Post Malone),59,Taylor Swift,0.52,0.393,11.0,-11.005,0.0314,0.517,5.69e-06,0.102,0.267,192.093
1gejz5ROvJBUb6WJzkMAcc,Fortnight (feat. Post Malone) - BLOND:ISH Remix,71,Taylor Swift,0.766,0.699,11.0,-7.118,0.0469,0.0117,0.00241,0.082,0.465,126.99
20nACtTlLpHqevuIVVD166,Fortnight (feat. Post Malone),53,Taylor Swift,0.672,0.392,11.0,-10.671,0.0254,0.524,7.99e-06,0.102,0.277,96.001
5GKww4njF9po4Q4z50qQKh,The Best Day,1,Taylor Swift,0.668,0.448,1.0,-8.567,0.0285,0.638,4.1e-06,0.158,0.386,126.066
2A8847n1SFImckzkLmdmCy,Never Grow Up,2,Taylor Swift,0.714,0.309,2.0,-8.828,0.0302,0.824,0.0,0.136,0.546,124.892
4yPBANkLlBwziJl6MOXEuf,Shake It Off,6,Taylor Swift,0.648,0.8,7.0,-5.384,0.165,0.0639,0.0,0.334,0.942,160.068
4NOVUXQBDwVdK3OqonvVH3,Change,13,Taylor Swift,0.543,0.764,5.0,-4.206,0.0377,0.00418,0.0,0.111,0.233,95.999
2JidgPELbiuTXYfRpgL3Fp,I Fall In Love Too Easily,0,Chet Baker,0.585,0.0862,0.0,-18.591,0.0388,0.962,0.381,0.106,0.219,63.579
2JidgPELbiuTXYfRpgL3Fp,I Fall In Love Too Easily,0,Chet Baker,0.585,0.0862,0.0,-18.591,0.0388,0.962,0.381,0.106,0.219,63.579
2JidgPELbiuTXYfRpgL3Fp,I Fall In Love Too Easily,0,Chet Baker,0.585,0.0862,0.0,-18.591,0.0388,0.962,0.381,0.106,0.219,63.579
